n,cpu_ms,gpu_ms,cpu_over_gpu,max_diff,winner
4,0.020398,0.769449,0.026510,0.000000,cpu
8,0.067915,0.671774,0.101098,0.000000,cpu
16,0.120143,0.783294,0.153382,0.000000,cpu
32,0.226834,0.769037,0.294958,0.000000,cpu
64,0.498643,0.625982,0.796578,0.000000,cpu
128,0.491585,0.549548,0.894526,0.000000,cpu
256,0.641398,0.719787,0.891094,0.000000,cpu
512,1.302454,0.976868,1.333296,0.000000,gpu
1024,2.492403,1.416347,1.759740,0.000000,gpu
2048,5.002001,2.078856,2.406131,0.000000,gpu
4096,10.047285,3.840428,2.616189,0.000000,gpu
