n,cpu_ms,gpu_ms,cpu_over_gpu,max_diff,winner
4,0.023767,0.806715,0.029462,0.000000,gpu
8,0.063462,1.114283,0.056953,0.000000,gpu
16,0.127006,0.958355,0.132525,0.000000,gpu
32,0.243114,0.760082,0.319852,0.000000,gpu
64,0.465450,0.759833,0.612569,0.000000,gpu
128,0.496267,0.665231,0.746007,0.000000,gpu
256,0.653635,0.933115,0.700487,0.000000,gpu
512,1.284416,1.063175,1.208095,0.000000,cpu
1024,2.524879,1.646795,1.533208,0.000000,cpu
2048,5.068786,2.712360,1.868774,0.000000,cpu
4096,10.055636,8.961941,1.122038,0.000000,cpu
