[score_all] opt=baseline level=0 | call=1 | elapsed=12.051 ms (12051 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=47.074 | cumulative=12.051 ms / 1 calls (avg=12.051 ms/call)
[score_all] opt=baseline level=0 | call=2 | elapsed=11.456 ms (11456 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.750 | cumulative=23.507 ms / 2 calls (avg=11.754 ms/call)
[score_all] opt=baseline level=0 | call=3 | elapsed=11.537 ms (11537 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.066 | cumulative=35.044 ms / 3 calls (avg=11.681 ms/call)
[score_all] opt=baseline level=0 | call=4 | elapsed=11.484 ms (11484 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.859 | cumulative=46.528 ms / 4 calls (avg=11.632 ms/call)
[score_all] opt=baseline level=0 | call=5 | elapsed=11.552 ms (11552 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.125 | cumulative=58.080 ms / 5 calls (avg=11.616 ms/call)
[score_all] opt=baseline level=0 | call=6 | elapsed=11.381 ms (11381 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.457 | cumulative=69.461 ms / 6 calls (avg=11.577 ms/call)
[score_all] opt=baseline level=0 | call=7 | elapsed=11.322 ms (11322 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.227 | cumulative=80.783 ms / 7 calls (avg=11.540 ms/call)
[score_all] opt=baseline level=0 | call=8 | elapsed=11.510 ms (11510 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.961 | cumulative=92.293 ms / 8 calls (avg=11.537 ms/call)
[score_all] opt=baseline level=0 | call=9 | elapsed=11.424 ms (11424 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.625 | cumulative=103.717 ms / 9 calls (avg=11.524 ms/call)
[score_all] opt=baseline level=0 | call=10 | elapsed=11.463 ms (11463 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.777 | cumulative=115.180 ms / 10 calls (avg=11.518 ms/call)
[score_all] opt=baseline level=0 | call=11 | elapsed=11.369 ms (11369 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=44.410 | cumulative=126.549 ms / 11 calls (avg=11.504 ms/call)
[score_all] opt=baseline level=0 | call=12 | elapsed=11.523 ms (11523 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.012 | cumulative=138.072 ms / 12 calls (avg=11.506 ms/call)
