[score_all] opt=opt1_licm level=1 | call=1 | elapsed=12.238 ms (12238 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=47.805 | cumulative=12.238 ms / 1 calls (avg=12.238 ms/call)
[score_all] opt=opt1_licm level=1 | call=2 | elapsed=11.691 ms (11691 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.668 | cumulative=23.929 ms / 2 calls (avg=11.964 ms/call)
[score_all] opt=opt1_licm level=1 | call=3 | elapsed=11.659 ms (11659 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.543 | cumulative=35.588 ms / 3 calls (avg=11.863 ms/call)
[score_all] opt=opt1_licm level=1 | call=4 | elapsed=11.635 ms (11635 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.449 | cumulative=47.223 ms / 4 calls (avg=11.806 ms/call)
[score_all] opt=opt1_licm level=1 | call=5 | elapsed=11.621 ms (11621 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.395 | cumulative=58.844 ms / 5 calls (avg=11.769 ms/call)
[score_all] opt=opt1_licm level=1 | call=6 | elapsed=11.626 ms (11626 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.414 | cumulative=70.470 ms / 6 calls (avg=11.745 ms/call)
[score_all] opt=opt1_licm level=1 | call=7 | elapsed=11.581 ms (11581 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.238 | cumulative=82.051 ms / 7 calls (avg=11.722 ms/call)
[score_all] opt=opt1_licm level=1 | call=8 | elapsed=11.588 ms (11588 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.266 | cumulative=93.639 ms / 8 calls (avg=11.705 ms/call)
[score_all] opt=opt1_licm level=1 | call=9 | elapsed=11.592 ms (11592 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.281 | cumulative=105.231 ms / 9 calls (avg=11.692 ms/call)
[score_all] opt=opt1_licm level=1 | call=10 | elapsed=11.624 ms (11624 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.406 | cumulative=116.855 ms / 10 calls (avg=11.686 ms/call)
[score_all] opt=opt1_licm level=1 | call=11 | elapsed=11.590 ms (11590 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.273 | cumulative=128.445 ms / 11 calls (avg=11.677 ms/call)
[score_all] opt=opt1_licm level=1 | call=12 | elapsed=11.577 ms (11577 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.223 | cumulative=140.022 ms / 12 calls (avg=11.668 ms/call)
[score_all] opt=opt1_licm level=1 | call=13 | elapsed=11.662 ms (11662 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.555 | cumulative=151.684 ms / 13 calls (avg=11.668 ms/call)
[score_all] opt=opt1_licm level=1 | call=14 | elapsed=11.717 ms (11717 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.770 | cumulative=163.401 ms / 14 calls (avg=11.671 ms/call)
[score_all] opt=opt1_licm level=1 | call=15 | elapsed=11.598 ms (11598 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=45.305 | cumulative=174.999 ms / 15 calls (avg=11.667 ms/call)
[score_all] opt=opt1_licm level=1 | call=16 | elapsed=0.196 ms (196 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=49.000 | cumulative=175.195 ms / 16 calls (avg=10.950 ms/call)
[score_all] opt=opt1_licm level=1 | call=17 | elapsed=0.198 ms (198 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=49.500 | cumulative=175.393 ms / 17 calls (avg=10.317 ms/call)
[score_all] opt=opt1_licm level=1 | call=18 | elapsed=0.189 ms (189 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=47.250 | cumulative=175.582 ms / 18 calls (avg=9.755 ms/call)
[score_all] opt=opt1_licm level=1 | call=19 | elapsed=0.178 ms (178 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.500 | cumulative=175.760 ms / 19 calls (avg=9.251 ms/call)
[score_all] opt=opt1_licm level=1 | call=20 | elapsed=0.182 ms (182 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.500 | cumulative=175.942 ms / 20 calls (avg=8.797 ms/call)
[score_all] opt=opt1_licm level=1 | call=21 | elapsed=0.178 ms (178 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.500 | cumulative=176.120 ms / 21 calls (avg=8.387 ms/call)
[score_all] opt= [RUNNING]  Bag Time: 1777606586.548208   Duration: 0.946599 / 96.405450               opt1_licm level=1 | call=22 | elapsed=0.183 ms (183 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.750 | cumulative=176.303 ms / 22 calls (avg=8.014 ms/call)
[score_all] opt=opt1_licm level=1 | call=23 | elapsed=0.201 ms (201 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=50.250 | cumulative=176.504 ms / 23 calls (avg=7.674 ms/call)
[score_all] opt=opt1_licm level=1 | call=24 | elapsed=0.183 ms (183 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.750 | cumulative=176.687 ms / 24 calls (avg=7.362 ms/call)
[score_all] opt=opt1_licm level=1 | call=25 | elapsed=0.179 ms (179 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.750 | cumulative=176.866 ms / 25 calls (avg=7.075 ms/call)
[score_all] opt=opt1_licm level=1 | call=26 | elapsed=0.176 ms (176 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.000 | cumulative=177.042 ms / 26 calls (avg=6.809 ms/call)
[score_all] opt=opt1_licm level=1 | call=27 | elapsed=0.174 ms (174 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=43.500 | cumulative=177.216 ms / 27 calls (avg=6.564 ms/call)
[score_all] opt=opt1_licm level=1 | call=28 | elapsed=0.175 ms (175 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=43.750 | cumulative=177.391 ms / 28 calls (avg=6.335 ms/call)
[score_all] opt=opt1_licm level=1 | call=29 | elapsed=0.182 ms (182 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.500 | cumulative=177.573 ms / 29 calls (avg=6.123 ms/call)
[score_all] opt=opt1_licm level=1 | call=30 | elapsed=0.175 ms (175 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=43.750 | cumulative=177.748 ms / 30 calls (avg=5.925 ms/call)
[score_all] opt=opt1_licm level=1 | call=31 | elapsed=0.177 ms (177 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.250 | cumulative=177.925 ms / 31 calls (avg=5.740 ms/call)
[score_all] opt=opt1_licm level=1 | call=32 | elapsed=0.179 ms (179 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.750 | cumulative=178.104 ms / 32 calls (avg=5.566 ms/call)
[score_all] opt=opt1_licm level=1 | call=33 | elapsed=0.177 ms (177 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.250 | cumulative=178.281 ms / 33 calls (avg=5.402 ms/call)
[score_all] opt=opt1_licm level=1 | call=34 | elapsed=0.191 ms (191 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=47.750 | cumulative=178.472 ms / 34 calls (avg=5.249 ms/call)
[score_all] opt=opt1_licm level=1 | call=35 | elapsed=0.186 ms (186 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=46.500 | cumulative=178.658 ms / 35 calls (avg=5.105 ms/call)
[score_all] opt=opt1_licm level=1 | call=36 | elapsed=0.181 ms (181 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.250 | cumulative=178.839 ms / 36 calls (avg=4.968 ms/call)
[score_all] opt=opt1_licm level=1 | call=37 | elapsed=0.182 ms (182 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.500 | cumulative=179.021 ms / 37 calls (avg=4.838 ms/call)
[score_all] opt=opt1_licm level=1 | call=38 | elapsed=0.180 ms (180 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.000 | cumulative=179.201 ms / 38 calls (avg=4.716 ms/call)
[score_all] opt=opt1_licm level=1 | call=39 | elapsed=0.180 ms (180 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=45.000 | cumulative=179.381 ms / 39 calls (avg=4.600 ms/call)
[score_all] opt=opt1_licm level=1 | call=40 | elapsed=0.178 ms (178 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.500 | cumulative=179.559 ms / 40 calls (avg=4.489 ms/call)
[score_all] opt=opt1_licm level=1 | call=41 | elapsed=0.178 ms (178 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=44.500 | cumulative=179.737 ms / 41 calls (avg=4.384 ms/call)
