[score_all] opt=opt2_loop_interchange level=2 | call=1 | elapsed=8.222 ms (8222 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=32.117 | cumulative=8.222 ms / 1 calls (avg=8.222 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=2 | elapsed=7.361 ms (7361 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.754 | cumulative=15.583 ms / 2 calls (avg=7.792 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=3 | elapsed=7.327 ms (7327 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.621 | cumulative=22.910 ms / 3 calls (avg=7.637 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=4 | elapsed=7.283 ms (7283 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.449 | cumulative=30.193 ms / 4 calls (avg=7.548 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=5 | elapsed=7.309 ms (7309 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.551 | cumulative=37.502 ms / 5 calls (avg=7.500 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=6 | elapsed=7.306 ms (7306 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.539 | cumulative=44.808 ms / 6 calls (avg=7.468 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=7 | elapsed=7.134 ms (7134 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=27.867 | cumulative=51.942 ms / 7 calls (avg=7.420 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=8 | elapsed=7.139 ms (7139 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=27.887 | cumulative=59.081 ms / 8 calls (avg=7.385 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=9 | elapsed=7.518 ms (7518 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=29.367 | cumulative=66.599 ms / 9 calls (avg=7.400 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=10 | elapsed=7.340 ms (7340 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.672 | cumulative=73.939 ms / 10 calls (avg=7.394 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=11 | elapsed=7.300 ms (7300 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.516 | cumulative=81.239 ms / 11 calls (avg=7.385 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=12 | elapsed=7.374 ms (7374 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.805 | cumulative=88.613 ms / 12 calls (avg=7.384 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=13 | elapsed=7.270 ms (7270 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.398 | cumulative=95.883 ms / 13 calls (avg=7.376 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=14 | elapsed=7.295 ms (7295 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.496 | cumulative=103.178 ms / 14 calls (avg=7.370 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=15 | elapsed=7.312 ms (7312 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.562 | cumulative=110.490 ms / 15 calls (avg=7.366 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=16 | elapsed=0.131 ms (131 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.750 | cumulative=110.621 ms / 16 calls (avg=6.914 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=17 | elapsed=0.131 ms (131 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=32.750 | cumulative=110.752 ms / 17 calls (avg=6.515 ms/call)
