[score_all] opt=opt4_branchless level=4 | call=1 | elapsed=10.579 ms (10579 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=41.324 | cumulative=10.579 ms / 1 calls (avg=10.579 ms/call)
[score_all] opt=opt4_branchless level=4 | call=2 | elapsed=9.896 ms (9896 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.656 | cumulative=20.475 ms / 2 calls (avg=10.238 ms/call)
[score_all] opt=opt4_branchless level=4 | call=3 | elapsed=9.871 ms (9871 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.559 | cumulative=30.346 ms / 3 calls (avg=10.115 ms/call)
[score_all] opt=opt4_branchless level=4 | call=4 | elapsed=9.919 ms (9919 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.746 | cumulative=40.265 ms / 4 calls (avg=10.066 ms/call)
[score_all] opt=opt4_branchless level=4 | call=5 | elapsed=9.867 ms (9867 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.543 | cumulative=50.132 ms / 5 calls (avg=10.026 ms/call)
[score_all] opt=opt4_branchless level=4 | call=6 | elapsed=9.817 ms (9817 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.348 | cumulative=59.949 ms / 6 calls (avg=9.992 ms/call)
[score_all] opt=opt4_branchless level=4 | call=7 | elapsed=9.937 ms (9937 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.816 | cumulative=69.886 ms / 7 calls (avg=9.984 ms/call)
[score_all] opt=opt4_branchless level=4 | call=8 | elapsed=9.897 ms (9897 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.660 | cumulative=79.783 ms / 8 calls (avg=9.973 ms/call)
[score_all] opt=opt4_branchless level=4 | call=9 | elapsed=9.889 ms (9889 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.629 | cumulative=89.672 ms / 9 calls (avg=9.964 ms/call)
[score_all] opt=opt4_branchless level=4 | call=10 | elapsed=9.857 ms (9857 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.504 | cumulative=99.529 ms / 10 calls (avg=9.953 ms/call)
[score_all] opt=opt4_branchless level=4 | call=11 | elapsed=9.831 ms (9831 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.402 | cumulative=109.360 ms / 11 calls (avg=9.942 ms/call)
