[score_all] opt=opt5_all_cpu level=5 | call=1 | elapsed=10.191 ms (10191 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.809 | cumulative=10.191 ms / 1 calls (avg=10.191 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=2 | elapsed=10.266 ms (10266 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=40.102 | cumulative=20.457 ms / 2 calls (avg=10.229 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=3 | elapsed=10.033 ms (10033 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.191 | cumulative=30.490 ms / 3 calls (avg=10.163 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=4 | elapsed=10.226 ms (10226 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.945 | cumulative=40.716 ms / 4 calls (avg=10.179 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=5 | elapsed=10.045 ms (10045 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.238 | cumulative=50.761 ms / 5 calls (avg=10.152 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=6 | elapsed=10.016 ms (10016 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.125 | cumulative=60.777 ms / 6 calls (avg=10.130 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=7 | elapsed=10.198 ms (10198 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.836 | cumulative=70.975 ms / 7 calls (avg=10.139 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=8 | elapsed=10.011 ms (10011 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.105 | cumulative=80.986 ms / 8 calls (avg=10.123 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=9 | elapsed=10.029 ms (10029 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.176 | cumulative=91.015 ms / 9 calls (avg=10.113 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=10 | elapsed=10.204 ms (10204 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.859 | cumulative=101.219 ms / 10 calls (avg=10.122 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=11 | elapsed=10.065 ms (10065 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.316 | cumulative=111.284 ms / 11 calls (avg=10.117 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=12 | elapsed=10.165 ms (10165 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.707 | cumulative=121.449 ms / 12 calls (avg=10.121 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=13 | elapsed=10.004 ms (10004 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.078 | cumulative=131.453 ms / 13 calls (avg=10.112 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=14 | elapsed=14.122 ms (14122 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=55.164 | cumulative=145.575 ms / 14 calls (avg=10.398 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=15 | elapsed=10.060 ms (10060 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=39.297 | cumulative=155.635 ms / 15 calls (avg=10.376 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=16 | elapsed=0.185 ms (185 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=46.250 | cumulative=155.820 ms / 16 calls (avg=9.739 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=17 | elapsed=0.184 ms (184 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=46.000 | cumulative=156.004 ms / 17 calls (avg=9.177 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=18 | elapsed=0.200 ms (200 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=50.000 | cumulative=156.204 ms / 18 calls (avg=8.678 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=19 | elapsed=0.248 ms (248 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=62.000 | cumulative=156.452 ms / 19 calls (avg=8.234 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=20 | elapsed=0.238 ms (238 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=59.500 | cumulative=156.690 ms / 20 calls (avg=7.835 ms/call)
[score_all] opt=opt5_all_cpu level=5 | call=21 | elapsed=0.229 ms (229 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=57.250 | cumulative=156.919 ms / 21 calls (avg=7.472 ms/call)
