[score_all] LOADED opt=opt6_best level=6 openmp=1
[score_all] opt=opt6_best level=6 | call=1 | elapsed=2.907 ms (2907 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=11.355 | cumulative=2.907 ms / 1 calls (avg=2.907 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=2 | elapsed=2.400 ms (2400 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=9.375 | cumulative=5.307 ms / 2 calls (avg=2.654 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=3 | elapsed=3.135 ms (3135 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=12.246 | cumulative=8.442 ms / 3 calls (avg=2.814 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=4 | elapsed=1.581 ms (1581 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.176 | cumulative=10.023 ms / 4 calls (avg=2.506 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=5 | elapsed=1.623 ms (1623 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.340 | cumulative=11.646 ms / 5 calls (avg=2.329 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=6 | elapsed=1.506 ms (1506 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.883 | cumulative=13.152 ms / 6 calls (avg=2.192 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=7 | elapsed=1.487 ms (1487 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.809 | cumulative=14.639 ms / 7 calls (avg=2.091 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=8 | elapsed=1.531 ms (1531 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.980 | cumulative=16.170 ms / 8 calls (avg=2.021 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=9 | elapsed=1.527 ms (1527 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.965 | cumulative=17.697 ms / 9 calls (avg=1.966 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=10 | elapsed=2.055 ms (2055 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=8.027 | cumulative=19.752 ms / 10 calls (avg=1.975 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=11 | elapsed=1.559 ms (1559 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.090 | cumulative=21.311 ms / 11 calls (avg=1.937 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=12 | elapsed=1.620 ms (1620 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.328 | cumulative=22.931 ms / 12 calls (avg=1.911 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=13 | elapsed=1.570 ms (1570 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.133 | cumulative=24.501 ms / 13 calls (avg=1.885 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=14 | elapsed=1.570 ms (1570 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.133 | cumulative=26.071 ms / 14 calls (avg=1.862 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=15 | elapsed=1.518 ms (1518 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.930 | cumulative=27.589 ms / 15 calls (avg=1.839 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=16 | elapsed=0.108 ms (108 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.000 | cumulative=27.697 ms / 16 calls (avg=1.731 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=17 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=27.856 ms / 17 calls (avg=1.639 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=18 | elapsed=0.203 ms (203 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=50.750 | cumulative=28.059 ms / 18 calls (avg=1.559 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=19 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=28.145 ms / 19 calls (avg=1.481 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=20 | elapsed=0.149 ms (149 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=37.250 | cumulative=28.294 ms / 20 calls (avg=1.415 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=21 | elapsed=0.175 ms (175 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=43.750 | cumulative=28.469 ms / 21 calls (avg=1.356 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=22 | elapsed=0.109 ms (109 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.250 | cumulative=28.578 ms / 22 calls (avg=1.299 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=23 | elapsed=0.139 ms (139 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=34.750 | cumulative=28.717 ms / 23 calls (avg=1.249 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=24 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=28.873 ms / 24 calls (avg=1.203 ms/call) | path=n4 | openmp=1
