[score_all] LOADED opt=opt8_cpu_slam level=8 (cpu_slam: n=4 N4, n>=8 OpenMP, no GPU)
[score_all] opt=opt8_cpu_slam level=8 | call=1 | elapsed=2.150 ms (2150 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=8.398 | cumulative=2.150 ms / 1 calls (avg=2.150 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=2 | elapsed=1.778 ms (1778 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.945 | cumulative=3.928 ms / 2 calls (avg=1.964 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=3 [RUNNING]  Bag Time: 1777606586.349656   Duration: 0.748048 / 96.405450                | elapsed=1.847 ms (1847 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.215 | cumulative=5.775 ms / 3 calls (avg=1.925 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=4 | elapsed=1.587 ms (1587 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.199 | cumulative=7.362 ms / 4 calls (avg=1.841 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=5 | elapsed=1.484 ms (1484 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.797 | cumulative=8.846 ms / 5 calls (avg=1.769 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=6 | elapsed=1.516 ms (1516 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.922 | cumulative=10.362 ms / 6 calls (avg=1.727 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=7 | elapsed=1.475 ms (1475 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.762 | cumulative=11.837 ms / 7 calls (avg=1.691 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=8 | elapsed=1.522 ms (1522 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.945 | cumulative=13.359 ms / 8 calls (avg=1.670 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=9 | elapsed=1.505 ms (1505 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.879 | cumulative=14.864 ms / 9 calls (avg=1.652 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=10 | elapsed=1.938 ms (1938 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.570 | cumulative=16.802 ms / 10 calls (avg=1.680 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=11 | elapsed=1.555 ms (1555 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.074 | cumulative=18.357 ms / 11 calls (avg=1.669 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=12 | elapsed=2.106 ms (2106 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=8.227 | cumulative=20.463 ms / 12 calls (avg=1.705 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=13 | elapsed=1.495 ms (1495 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.840 | cumulative=21.958 ms / 13 calls (avg=1.689 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=14 | elapsed=1.503 ms (1503 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.871 | cumulative=23.461 ms / 14 calls (avg=1.676 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=15 | elapsed=1.501 ms (1501 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.863 | cumulative=24.962 ms / 15 calls (avg=1.664 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=16 | elapsed=0.108 ms (108 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.000 | cumulative=25.070 ms / 16 calls (avg=1.567 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=17 | elapsed=0.161 ms (161 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.250 | cumulative=25.231 ms / 17 calls (avg=1.484 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=18 | elapsed=0.103 ms (103 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=25.750 | cumulative=25.334 ms / 18 calls (avg=1.407 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=19 | elapsed=0.353 ms (353 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=88.250 | cumulative=25.687 ms / 19 calls (avg=1.352 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=20 | elapsed=0.411 ms (411 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=102.750 | cumulative=26.098 ms / 20 calls (avg=1.305 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=21 | elapsed=0.238 ms (238 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=59.500 | cumulative=26.336 ms / 21 calls (avg=1.254 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=22 | elapsed=0.201 ms (201 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=50.250 | cumulative=26.537 ms / 22 calls (avg=1.206 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=23 | elapsed=0.192 ms (192 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=48.000 | cumulative=26.729 ms / 23 calls (avg=1.162 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=24 | elapsed=0.124 ms (124 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.000 | cumulative=26.853 ms / 24 calls (avg=1.119 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=25 | elapsed=0.215 ms (215 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=53.750 | cumulative=27.068 ms / 25 calls (avg=1.083 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=26 | elapsed=0.252 ms (252 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=63.000 | cumulative=27.320 ms / 26 calls (avg=1.051 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=27 | elapsed=0.097 ms (97 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.250 | cumulative=27.417 ms / 27 calls (avg=1.015 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=28 | elapsed=0.096 ms (96 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.000 | cumulative=27.513 ms / 28 calls (avg=0.983 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=29 | elapsed=0.092 ms (92 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.000 | cumulative=27.605 ms / 29 calls (avg=0.952 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=30 | elapsed=0.094 ms (94 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.500 | cumulative=27.699 ms / 30 calls (avg=0.923 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=31 | elapsed=0.093 ms (93 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.250 | cumulative=27.792 ms / 31 calls (avg=0.897 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=32 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=27.876 ms / 32 calls (avg=0.871 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=33 | elapsed=0.085 ms (85 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.250 | cumulative=27.961 ms / 33 calls (avg=0.847 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=34 | elapsed=0.081 ms (81 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.250 | cumulative=28.042 ms / 34 calls (avg=0.825 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=35 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=28.125 ms / 35 calls (avg=0.804 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=36 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=28.209 ms / 36 calls (avg=0.784 ms/call) | path=n4 | openmp=1
