[score_all] LOADED opt=opt9_hybrid_bench level=9 cuda=1 (bench hybrid: n=4 CPU, n<2048 OpenMP, n>=2048 GPU)
[score_all] opt=opt9_hybrid_bench level=9 | call=1 | elapsed=4.704 ms (4704 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=18.375 | cumulative=4.704 ms / 1 calls (avg=4.704 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=2 | elapsed=2.834 ms (2834 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=11.070 | cumulative=7.538 ms / 2 calls (avg=3.769 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=3 | elapsed=2.655 ms (2655 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=10.371 | cumulative=10.193 ms / 3 calls (avg=3.398 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=4 | elapsed=1.648 ms (1648 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.438 | cumulative=11.841 ms / 4 calls (avg=2.960 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=5 | elapsed=1.923 ms (1923 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.512 | cumulative=13.764 ms / 5 calls (avg=2.753 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=6 | elapsed=1.747 ms (1747 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.824 | cumulative=15.511 ms / 6 calls (avg=2.585 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=7 | elapsed=1.516 ms (1516 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.922 | cumulative=17.027 ms / 7 calls (avg=2.432 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=8 | elapsed=1.506 ms (1506 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.883 | cumulative=18.533 ms / 8 calls (avg=2.317 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=9 | elapsed=1.904 ms (1904 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.438 | cumulative=20.437 ms / 9 calls (avg=2.271 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=10 | elapsed=1.543 ms (1543 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.027 | cumulative=21.980 ms / 10 calls (avg=2.198 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=11 | elapsed=1.512 ms (1512 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.906 | cumulative=23.492 ms / 11 calls (avg=2.136 ms/call) | path=omp_cand | cuda=1
